query_id,adduct,precursor_mz,raw_peak_count,peak_count_ge_1pct,peak_count_ge_3pct,peak_count_ge_1pct_no_precursor,peak_count_top50,peak_count_top20
83,[M+H]+,229.143216539695,59,16,11,16,50,20
84,[M+H]+,319.226464781691,103,61,22,60,50,20
85,[M+Na]+,355.1875765972,13,13,13,13,13,13
86,[M+Na]+,359.218938552257,12,12,2,11,12,12
87,[M+H]+,148.075452106098,29,11,4,10,29,20
88,[M+H]+,489.123474121094,22,4,2,4,22,20
89,[M+H]+,251.163883088621,111,70,32,69,50,20
90,[M+H]+,337.273519236211,42,42,42,42,42,20
91,[M+Na]+,371.182586369526,34,13,8,15,34,20
92,[M+Na]+,551.281937260959,41,17,12,16,41,20
93,[M+H]+,278.117219218254,30,12,7,12,30,20
94,[M+H]+,531.4400905022,13,13,13,13,13,13
95,[M+H]+,589.299949560662,211,120,55,119,50,20
96,[M+H]+,421.2579102945,50,50,50,50,50,20
97,[M+Na]+,553.261576373118,15,7,3,13,15,15
98,[M+H]+,453.238635252155,8,6,4,7,8,8
99,[M+H]+,455.1485326536,44,44,19,44,44,20
100,[M+H]+,329.231892370686,50,50,50,50,50,20
101,[M+H]+,265.106995360766,64,15,5,31,50,20
102,[M+H]+,403.232045400965,25,8,6,8,25,20
103,[M+Na]+,685.391173042312,22,5,3,4,22,20
104,[M+H]+,249.078750610352,17,4,2,4,17,17
105,[M+H]+,361.200375071837,85,31,13,31,50,20
106,[M+H]+,297.107910928399,50,21,7,21,50,20
107,[M+H]+,317.210886689853,146,84,40,104,50,20
108,[M+H]+,211.143956950586,42,12,6,14,42,20
109,[M+H]+,465.102494314505,33,15,6,15,33,20
110,[M+Na]+,569.344143925056,30,5,2,4,30,20
111,[M+H]+,173.091842651367,55,29,18,27,50,20
112,[M+H]+,275.127474208511,89,39,20,39,50,20
113,[M+H]+,384.237576499794,80,52,35,52,50,20
114,[M+H]+,773.212341308594,17,13,4,13,17,17
115,[M+H]+,487.341135509272,102,102,102,102,50,20
116,[M+H]+,227.117682198429,34,7,5,6,34,20
117,[M+Na]+,391.151150234014,15,13,4,13,15,15
118,[M+Na]+,343.223900602643,7,7,5,6,7,7
119,[M+H]+,277.133189720886,38,12,6,11,38,20
120,[M+H]+,235.16901312256,90,59,45,58,50,20
121,[M+H]+,311.148594834163,163,101,64,101,50,20
122,[M+H]+,516.258822820097,64,14,5,14,50,20
123,[M+H]+,287.05477511929,14,3,1,3,14,14
124,[M+Na]+,557.1986375529,26,9,5,11,26,20
125,[M+Na]+,321.130456878152,15,15,15,14,15,15
126,[M+H]+,293.164467938574,31,9,4,9,31,20
127,[M+H]+,485.325432421438,150,150,73,150,50,20
128,[M+H]+,266.102037994695,34,17,11,17,34,20
129,[M+H]+,317.210865326987,64,64,64,63,50,20
130,[M+H]+,273.111899404508,82,26,15,26,50,20
131,[M+H]+,226.143449486821,70,37,30,37,50,20
132,[M+H]+,343.190181065075,57,16,13,16,50,20
133,[M+Na]+,392.2040554259,21,21,11,20,21,20
134,[M+Na]+,553.225502325156,35,19,14,20,35,20
135,[M+H]+,352.237811279235,21,4,4,4,21,20
136,[M+H]+,273.205748250264,94,94,66,94,50,20
137,[M+H]+,413.159051409611,23,23,23,23,23,20
138,[M+H]+,387.179762289554,286,208,117,208,50,20
139,[M+H]+,903.254552637546,46,10,6,10,46,20
140,[M+H]+,275.163851548862,145,81,39,80,50,20
141,[M+Na]+,365.099067602426,17,8,4,7,17,17
142,[M+H]+,371.148665955677,63,63,41,63,50,20
143,[M+H]+,377.159048235277,114,37,16,37,50,20
144,[M+H]+,281.138108031761,27,18,10,18,27,20
145,[M+H]+,903.254591557378,18,16,6,16,18,18
146,[M+H]+,659.305358886719,243,243,215,243,50,20
147,[M+H]+,417.247928865327,23,23,23,23,23,20
148,[M+Na]+,345.239577329631,19,1,1,18,19,19
149,[M+H]+,369.132758072946,24,3,2,2,24,20
150,[M+H]+,379.245232516541,11,11,2,10,11,11
151,[M+H]+,223.059992250151,58,34,24,33,50,20
152,[M+Na]+,209.078338623047,12,12,12,11,12,12
153,[M+Na]+,475.17834109672,14,14,4,12,14,14
154,[M+Na]+,338.120757952349,11,1,1,10,11,11
155,[M+H]+,383.178221106453,17,3,1,2,17,17
156,[M+H]+,331.175020785177,22,22,8,22,22,20
157,[M+H]+,243.101852416992,35,13,10,32,35,20
158,[M+H]+,500.26370961297,65,22,13,22,50,20
159,[M+H]+,235.169138407502,55,52,27,51,50,20
160,[M+Na]+,675.407116912686,12,12,4,11,12,12
161,[M+Na]+,543.198551160103,14,14,14,13,14,14
162,[M+Na]+,808.339580864948,166,72,30,71,50,20
163,[M+H]+,778.412071426478,105,45,23,45,50,20
164,[M+H]+,319.174937465293,55,14,9,14,50,20
165,[M+H]+,903.254435229549,16,8,7,8,16,16
166,[M+H]+,197.117068765905,78,35,23,33,50,20
167,[M+Na]+,291.156443456133,9,4,2,8,9,9
168,[M+Na]+,373.197929451086,19,13,8,18,19,19
169,[M+H]+,586.21728515625,140,44,27,44,50,20
170,[M+H]+,317.210941458283,44,44,44,44,44,20
171,[M+H]+,647.232372764582,29,29,12,29,29,20
172,[M+H]+,337.273350277786,70,70,70,68,50,20
173,[M+H]+,417.138772181597,36,19,15,19,36,20
174,[M+Na]+,965.470336914063,25,23,9,20,25,20
175,[M+Na]+,561.194132924822,13,13,13,12,13,13
176,[M+H]+,611.196249141132,16,16,16,16,16,16
177,[M+H]+,813.264282226563,21,21,10,21,21,20
178,[M+H]+,369.230865478516,57,57,27,56,50,20
179,[M+H]+,417.201470595733,106,36,11,35,50,20
180,[M+H]+,491.226984056055,143,14,6,14,50,20
181,[M+H]+,235.169064683683,85,17,5,58,50,20
182,[M+Na]+,673.391311496026,17,6,5,7,17,17
183,[M+Na]+,392.204095726442,21,21,21,20,21,20
184,[M+Na]+,921.496181071942,45,45,38,44,45,20
185,[M+H]+,193.085852176167,46,14,9,16,46,20
186,[M+H]+,267.122505644981,76,22,12,22,50,20
187,[M+H]+,403.138301404899,72,20,14,19,50,20
188,[M+H]+,469.22139095747,15,5,2,5,15,15
189,[M+H]+,368.217760698508,30,6,2,6,30,20
190,[M+H]+,275.163853197791,137,39,12,87,50,20
191,[M+H]+,487.341250778403,55,55,55,55,50,20
192,[M+H]+,661.39362166225,72,72,72,72,50,20
193,[M+H]+,441.226683930043,136,64,42,63,50,20
194,[M+H]+,315.090498851477,57,20,12,19,50,20
195,[M+H]+,663.227678443159,56,21,7,21,50,20
196,[M+H]+,486.259335227713,153,95,41,94,50,20
197,[M+Na]+,817.357713514593,39,26,13,25,39,20
198,[M+Na]+,237.109558105469,26,5,2,25,26,20
199,[M+H]+,336.064621637157,21,19,5,19,21,20
200,[M+H]+,959.519496084228,40,40,40,40,40,20
201,[M+H]+,259.096368166086,61,13,8,12,50,20
202,[M+Na]+,285.130608044406,9,9,4,8,9,9
203,[M+Na]+,351.213809878461,22,6,3,19,22,20
204,[M+Na]+,553.239949722027,115,58,34,58,50,20
205,[M+H]+,297.12325418177,24,4,3,4,24,20
206,[M+H]+,273.112060546875,36,17,8,16,36,20
207,[M+H]+,227.091207796557,69,44,30,44,50,20
208,[M+H]+,235.169023595214,67,67,41,65,50,20
209,[M+H]+,275.127561614585,72,32,12,32,50,20
210,[M+H]+,194.081074419737,72,22,12,22,50,20
211,[M+H]+,265.190887245176,148,76,33,75,50,20
212,[M+H]+,222.148667506899,36,5,3,5,36,20
213,[M+H]+,403.211022742836,296,176,81,176,50,20
214,[M+H]+,271.059841928281,23,3,1,3,23,20
215,[M+H]+,309.169381324284,109,104,71,104,50,20
216,[M+H]+,275.091150535382,139,95,48,95,50,20
217,[M+Na]+,367.245134102404,12,4,2,11,12,12
218,[M+H]+,273.097993820206,45,12,6,12,45,20
219,[M+H]+,315.227363745888,52,27,22,26,50,20
220,[M+H]+,235.1689207741,99,46,31,45,50,20
221,[M+H]+,415.211006003416,125,77,45,77,50,20
222,[M+H]+,377.195318456245,64,14,8,14,50,20
223,[M+H]+,357.205526462194,88,22,13,22,50,20
224,[M+H]+,256.059356689453,61,19,10,18,50,20
225,[M+H]+,331.080666792507,44,7,4,10,44,20
226,[M+H]+,268.154041428283,79,26,13,25,50,20
227,[M+H]+,411.3252119159,108,47,26,47,50,20
228,[M+H]+,243.101499946407,10,10,5,10,10,10
