spec_id,query_mol_id,adduct,expected_candidate_rows,observed_rows,complete,output_file
17,1196804,[M+H]+,9564,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_17/cfmid_ranked_17.txt
18,1196806,[M+H]+,6548,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_18/cfmid_ranked_18.txt
21,1196809,[M+H]+,5615,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_21/cfmid_ranked_21.txt
22,1196810,[M+H]+,6294,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_22/cfmid_ranked_22.txt
23,1196811,[M+H]+,5745,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_23/cfmid_ranked_23.txt
24,1196813,[M+H]+,5015,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_24/cfmid_ranked_24.txt
25,1196814,[M+H]+,9778,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_25/cfmid_ranked_25.txt
26,1196815,[M+H]+,8521,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_26/cfmid_ranked_26.txt
27,1196816,[M+H]+,3327,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_27/cfmid_ranked_27.txt
29,1196818,[M+H]+,8062,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_29/cfmid_ranked_29.txt
31,1196820,[M+H]+,9668,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_31/cfmid_ranked_31.txt
34,1196823,[M+H]+,457,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_34/cfmid_ranked_34.txt
35,1196824,[M+H]+,233,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_35/cfmid_ranked_35.txt
37,1196826,[M+H]+,8957,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_37/cfmid_ranked_37.txt
38,1196827,[M+H]+,9532,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_38/cfmid_ranked_38.txt
39,1196829,[M+H]+,859,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_39/cfmid_ranked_39.txt
40,1196830,[M+H]+,7695,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_40/cfmid_ranked_40.txt
41,1196831,[M+H]+,5158,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_41/cfmid_ranked_41.txt
42,1196832,[M+H]+,9484,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_42/cfmid_ranked_42.txt
43,1196833,[M+H]+,8937,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_43/cfmid_ranked_43.txt
46,1196837,[M+H]+,960,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_46/cfmid_ranked_46.txt
48,1196839,[M+H]+,9066,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_48/cfmid_ranked_48.txt
50,1196841,[M+H]+,1506,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_50/cfmid_ranked_50.txt
51,1196842,[M+H]+,558,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_51/cfmid_ranked_51.txt
53,1196844,[M+H]+,1206,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_53/cfmid_ranked_53.txt
54,1196845,[M+H]+,6814,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_54/cfmid_ranked_54.txt
55,1196846,[M+H]+,9288,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_55/cfmid_ranked_55.txt
56,1196828,[M+H]+,9532,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_56/cfmid_ranked_56.txt
58,1196849,[M+H]+,2999,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_58/cfmid_ranked_58.txt
59,1196850,[M+H]+,9219,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_59/cfmid_ranked_59.txt
60,1196851,[M+H]+,7090,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_60/cfmid_ranked_60.txt
61,1196853,[M+H]+,8027,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_61/cfmid_ranked_61.txt
64,1196856,[M+H]+,817,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_64/cfmid_ranked_64.txt
65,1196857,[M+H]+,9590,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_65/cfmid_ranked_65.txt
68,1196860,[M+H]+,1511,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_68/cfmid_ranked_68.txt
69,1196861,[M+H]+,9556,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_69/cfmid_ranked_69.txt
70,1196862,[M+H]+,8926,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_70/cfmid_ranked_70.txt
71,1196863,[M+H]+,9485,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_71/cfmid_ranked_71.txt
74,1196866,[M+H]+,7251,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_74/cfmid_ranked_74.txt
75,1196867,[M+H]+,4498,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_75/cfmid_ranked_75.txt
76,1196812,[M+H]+,5745,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_76/cfmid_ranked_76.txt
77,1196868,[M+H]+,8719,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_77/cfmid_ranked_77.txt
78,1196869,[M+H]+,787,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_78/cfmid_ranked_78.txt
79,1196870,[M+H]+,7821,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_79/cfmid_ranked_79.txt
80,1196871,[M+H]+,7809,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_80/cfmid_ranked_80.txt
82,1196873,[M+H]+,5788,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_82/cfmid_ranked_82.txt
83,1196874,[M+H]+,9564,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_83/cfmid_ranked_83.txt
84,1196852,[M+H]+,7090,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_84/cfmid_ranked_84.txt
87,1196876,[M+H]+,2560,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_87/cfmid_ranked_87.txt
88,1196877,[M+H]+,6054,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_88/cfmid_ranked_88.txt
89,1196805,[M+H]+,9564,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_89/cfmid_ranked_89.txt
90,1196878,[M+H]+,1959,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_90/cfmid_ranked_90.txt
93,1196881,[M+H]+,9460,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_93/cfmid_ranked_93.txt
94,1196882,[M+H]+,347,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_94/cfmid_ranked_94.txt
95,1196883,[M+H]+,1877,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_95/cfmid_ranked_95.txt
96,1196884,[M+H]+,6683,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_96/cfmid_ranked_96.txt
98,1196886,[M+H]+,9270,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_98/cfmid_ranked_98.txt
99,1196887,[M+H]+,6863,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_99/cfmid_ranked_99.txt
100,1196888,[M+H]+,6530,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_100/cfmid_ranked_100.txt
101,1196890,[M+H]+,7839,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_101/cfmid_ranked_101.txt
102,1196891,[M+H]+,4859,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_102/cfmid_ranked_102.txt
104,1196893,[M+H]+,8559,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_104/cfmid_ranked_104.txt
105,1196894,[M+H]+,9237,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_105/cfmid_ranked_105.txt
106,1196895,[M+H]+,9491,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_106/cfmid_ranked_106.txt
107,1196896,[M+H]+,8301,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_107/cfmid_ranked_107.txt
108,1196899,[M+H]+,9739,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_108/cfmid_ranked_108.txt
109,1196900,[M+H]+,4864,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_109/cfmid_ranked_109.txt
111,1196902,[M+H]+,2744,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_111/cfmid_ranked_111.txt
112,1196903,[M+H]+,9092,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_112/cfmid_ranked_112.txt
113,1196905,[M+H]+,7164,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_113/cfmid_ranked_113.txt
114,1196906,[M+H]+,689,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_114/cfmid_ranked_114.txt
115,1196907,[M+H]+,1876,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_115/cfmid_ranked_115.txt
116,1196909,[M+H]+,9725,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_116/cfmid_ranked_116.txt
119,1196912,[M+H]+,9424,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_119/cfmid_ranked_119.txt
120,1196913,[M+H]+,9633,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_120/cfmid_ranked_120.txt
121,1196918,[M+H]+,9371,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_121/cfmid_ranked_121.txt
122,1196919,[M+H]+,3108,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_122/cfmid_ranked_122.txt
123,1196920,[M+H]+,2103,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_123/cfmid_ranked_123.txt
126,1196923,[M+H]+,9036,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_126/cfmid_ranked_126.txt
127,1196924,[M+H]+,1657,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_127/cfmid_ranked_127.txt
128,1196925,[M+H]+,9700,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_128/cfmid_ranked_128.txt
129,1196897,[M+H]+,8301,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_129/cfmid_ranked_129.txt
130,1196926,[M+H]+,9113,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_130/cfmid_ranked_130.txt
131,1196928,[M+H]+,9650,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_131/cfmid_ranked_131.txt
132,1196929,[M+H]+,9018,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_132/cfmid_ranked_132.txt
135,1196933,[M+H]+,6577,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_135/cfmid_ranked_135.txt
136,1196934,[M+H]+,9626,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_136/cfmid_ranked_136.txt
137,1196935,[M+H]+,8774,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_137/cfmid_ranked_137.txt
138,1196936,[M+H]+,8939,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_138/cfmid_ranked_138.txt
139,1196937,[M+H]+,631,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_139/cfmid_ranked_139.txt
140,1196939,[M+H]+,9134,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_140/cfmid_ranked_140.txt
142,1196942,[M+H]+,9236,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_142/cfmid_ranked_142.txt
143,1196943,[M+H]+,8691,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_143/cfmid_ranked_143.txt
144,1196944,[M+H]+,9540,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_144/cfmid_ranked_144.txt
145,1196938,[M+H]+,316,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_145/cfmid_ranked_145.txt
146,1196945,[M+H]+,1277,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_146/cfmid_ranked_146.txt
147,1196946,[M+H]+,4034,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_147/cfmid_ranked_147.txt
149,1196948,[M+H]+,9235,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_149/cfmid_ranked_149.txt
150,1196949,[M+H]+,7703,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_150/cfmid_ranked_150.txt
151,1196950,[M+H]+,1793,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_151/cfmid_ranked_151.txt
155,1196954,[M+H]+,9273,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_155/cfmid_ranked_155.txt
156,1196955,[M+H]+,8995,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_156/cfmid_ranked_156.txt
157,1196956,[M+H]+,6956,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_157/cfmid_ranked_157.txt
158,1196958,[M+H]+,3729,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_158/cfmid_ranked_158.txt
159,1196914,[M+H]+,9633,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_159/cfmid_ranked_159.txt
163,1196962,[M+H]+,361,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_163/cfmid_ranked_163.txt
164,1196963,[M+H]+,9014,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_164/cfmid_ranked_164.txt
165,1196937,[M+H]+,631,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_165/cfmid_ranked_165.txt
166,1196964,[M+H]+,6879,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_166/cfmid_ranked_166.txt
169,1196967,[M+H]+,4670,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_169/cfmid_ranked_169.txt
170,1196898,[M+H]+,8301,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_170/cfmid_ranked_170.txt
171,1196968,[M+H]+,1728,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_171/cfmid_ranked_171.txt
172,1196879,[M+H]+,1959,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_172/cfmid_ranked_172.txt
173,1196969,[M+H]+,8918,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_173/cfmid_ranked_173.txt
176,1196972,[M+H]+,2390,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_176/cfmid_ranked_176.txt
177,1196973,[M+H]+,336,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_177/cfmid_ranked_177.txt
178,1196974,[M+H]+,2608,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_178/cfmid_ranked_178.txt
179,1196975,[M+H]+,8960,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_179/cfmid_ranked_179.txt
180,1196976,[M+H]+,6387,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_180/cfmid_ranked_180.txt
181,1196915,[M+H]+,9633,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_181/cfmid_ranked_181.txt
185,1196979,[M+H]+,6320,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_185/cfmid_ranked_185.txt
186,1196980,[M+H]+,9661,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_186/cfmid_ranked_186.txt
187,1196981,[M+H]+,8418,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_187/cfmid_ranked_187.txt
188,1196982,[M+H]+,6643,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_188/cfmid_ranked_188.txt
189,1196983,[M+H]+,3839,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_189/cfmid_ranked_189.txt
190,1196940,[M+H]+,9134,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_190/cfmid_ranked_190.txt
191,1196908,[M+H]+,1876,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_191/cfmid_ranked_191.txt
192,1196984,[M+H]+,735,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_192/cfmid_ranked_192.txt
193,1196985,[M+H]+,7937,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_193/cfmid_ranked_193.txt
194,1196986,[M+H]+,9378,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_194/cfmid_ranked_194.txt
195,1196987,[M+H]+,1274,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_195/cfmid_ranked_195.txt
196,1196988,[M+H]+,4522,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_196/cfmid_ranked_196.txt
199,1196991,[M+H]+,4447,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_199/cfmid_ranked_199.txt
200,1196992,[M+H]+,510,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_200/cfmid_ranked_200.txt
201,1196993,[M+H]+,7033,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_201/cfmid_ranked_201.txt
205,1196996,[M+H]+,9363,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_205/cfmid_ranked_205.txt
206,1196927,[M+H]+,9113,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_206/cfmid_ranked_206.txt
207,1196997,[M+H]+,5971,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_207/cfmid_ranked_207.txt
208,1196916,[M+H]+,9633,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_208/cfmid_ranked_208.txt
209,1196904,[M+H]+,9092,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_209/cfmid_ranked_209.txt
210,1196998,[M+H]+,6490,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_210/cfmid_ranked_210.txt
211,1196999,[M+H]+,9668,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_211/cfmid_ranked_211.txt
212,1197000,[M+H]+,9580,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_212/cfmid_ranked_212.txt
213,1197001,[M+H]+,9069,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_213/cfmid_ranked_213.txt
214,1197002,[M+H]+,1846,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_214/cfmid_ranked_214.txt
215,1197003,[M+H]+,9453,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_215/cfmid_ranked_215.txt
