supported_index,dataset,model,status,query_id,spectrum_id,casmi_id,adduct,precursor_mz,collision_energy_used,true_candidate_id,candidate_pool_policy,candidate_count,predicted_spectrum_count,failed_prediction_count,nan_score_count,true_rank,top1_correct,top5_correct,top10_correct,reciprocal_rank,top1_candidate_smiles,top1_tanimoto,formula_accuracy,score_name,elapsed_seconds,source_shard,source_file,in_matched_manifest
10,CASMI2022,iceberg,completed,15,15,34,[M+H]+,505.221679905913,30,CASMI_MOL_1196802,full_query_candidate_set,4775,4775,0,0,5.0,False,True,True,0.2,O=C(CCN1CCC1)N1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0.1428571428571428,False,binned_cosine_1Da,2587.8818032741547,shard_006_010,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_006_010/casmi2022_iceberg_harmonized_query_results.csv,True
11,CASMI2022,iceberg,completed,16,16,35,[M+H]+,522.596526377514,30,CASMI_MOL_1196803,full_query_candidate_set,103,103,0,0,69.0,False,False,False,0.0144927536231884,CCCCCCCCCC(CCCCCCCCCCC(CCCCC)CCCCC)CCCN(C)C,0.4,True,binned_cosine_1Da,67.89501428604126,shard_011_015,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_011_015/casmi2022_iceberg_harmonized_query_results.csv,True
12,CASMI2022,iceberg,partial_prediction_failures,17,17,41,[M+H]+,251.163916083717,30,CASMI_MOL_1196804,full_query_candidate_set,9564,9562,2,2,2455.0,False,False,False,0.00040733197556,Cc1nc(C2CCC(F)CC2)nc(=N)cc1CN,0.09375,False,binned_cosine_1Da,4271.278364896774,shard_011_015,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_011_015/casmi2022_iceberg_harmonized_query_results.csv,True
13,CASMI2022,iceberg,partial_prediction_failures,18,18,42,[M+H]+,199.096388145119,30,CASMI_MOL_1196806,full_query_candidate_set,6548,6546,2,2,1534.0,False,False,False,0.0006518904823989,CC1(O)CCC(=O)C=C1CCC(=O)O,0.1481481481481481,True,binned_cosine_1Da,2646.00461101532,shard_011_015,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_011_015/casmi2022_iceberg_harmonized_query_results.csv,True
14,CASMI2022,iceberg,completed,21,21,48,[M+H]+,419.096457918953,30,CASMI_MOL_1196809,full_query_candidate_set,5615,5615,0,0,4.0,False,True,True,0.25,COc1c2cc(C)c3c1OCOc1c(c(C)c(C(=O)OC(=O)O)c-2c1OC)OCO3,0.3518518518518518,True,binned_cosine_1Da,1991.1311886310575,shard_011_015,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_011_015/casmi2022_iceberg_harmonized_query_results.csv,True
15,CASMI2022,iceberg,completed,22,22,54,[M+H]+,235.09602715843,30,CASMI_MOL_1196810,full_query_candidate_set,6294,6294,0,0,186.0,False,False,False,0.0053763440860215,COCc1c(C(=O)O)oc2c(C)c(C)ccc12,0.2,True,binned_cosine_1Da,1481.7569291591644,shard_011_015,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_011_015/casmi2022_iceberg_harmonized_query_results.csv,True
16,CASMI2022,iceberg,completed,23,23,55,[M+H]+,305.24715503306,30,CASMI_MOL_1196811,full_query_candidate_set,5745,5745,0,0,322.0,False,False,False,0.0031055900621118,CCC=CCC=CCCCCC=CCC=CCCCC(=O)O,0.15,True,binned_cosine_1Da,1725.600490808487,shard_016_020,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_016_020/casmi2022_iceberg_harmonized_query_results.csv,True
17,CASMI2022,iceberg,completed,24,24,56,[M+H]+,251.081286729391,30,CASMI_MOL_1196813,full_query_candidate_set,5015,5015,0,0,148.0,False,False,False,0.0067567567567567,O=C=NCc1ccccc1-c1nc2ccccc2o1,0.123076923076923,True,binned_cosine_1Da,1437.2139539718628,shard_016_020,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_016_020/casmi2022_iceberg_harmonized_query_results.csv,True
18,CASMI2022,iceberg,completed,25,25,57,[M+H]+,256.190347458289,30,CASMI_MOL_1196814,full_query_candidate_set,9778,9778,0,0,4.0,False,True,True,0.25,C=C(C)C(=O)C(CCCCCCCCN)C(=O)O,0.16,True,binned_cosine_1Da,2613.8203523159027,shard_016_020,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_016_020/casmi2022_iceberg_harmonized_query_results.csv,True
19,CASMI2022,iceberg,completed,26,26,63,[M+H]+,287.113248407357,30,CASMI_MOL_1196815,full_query_candidate_set,8521,8521,0,0,143.0,False,False,False,0.0069930069930069,COc1ccc(C(=O)Nc2nn(C)cc2C#N)c(OC)c1,0.1139240506329113,True,binned_cosine_1Da,2437.9420602321625,shard_016_020,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_016_020/casmi2022_iceberg_harmonized_query_results.csv,True
20,CASMI2022,iceberg,completed,27,27,64,[M+H]+,564.248474121094,30,CASMI_MOL_1196816,full_query_candidate_set,3327,3327,0,0,4.0,False,True,True,0.25,COc1ccc(N2Cc3ccc(CN4Cc5cnc(CO)cc5C4=O)cc3C2=O)cc1OC(C)CCc1ccccc1,0.209090909090909,True,binned_cosine_1Da,1229.489056348801,shard_016_020,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_016_020/casmi2022_iceberg_harmonized_query_results.csv,True
21,CASMI2022,iceberg,partial_prediction_failures,29,29,69,[M+H]+,442.152698645402,30,CASMI_MOL_1196818,full_query_candidate_set,8062,8060,2,2,367.0,False,False,False,0.0027247956403269,CC(=O)NCC1CN(c2ccc(N3C=NN([S+]([O-])C(C)(C)O)CC3)c(F)c2)C(=O)O1,0.125,False,binned_cosine_1Da,3110.3503787517548,shard_021_025,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_021_025/casmi2022_iceberg_harmonized_query_results.csv,True
22,CASMI2022,iceberg,completed,31,31,77,[M+H]+,268.169176279556,30,CASMI_MOL_1196820,full_query_candidate_set,9668,9668,0,0,13.0,False,False,False,0.0769230769230769,CCC(C)c1ccc(C(=O)c2cc(C)cc(N)c2)cc1,0.1636363636363636,True,binned_cosine_1Da,2205.795647382736,shard_021_025,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_021_025/casmi2022_iceberg_harmonized_query_results.csv,True
23,CASMI2022,iceberg,partial_prediction_failures,34,34,91,[M+H]+,88.075645446777,30,CASMI_MOL_1196823,full_query_candidate_set,457,454,3,3,123.0,False,False,False,0.008130081300813,CCCC=NO,0.2727272727272727,True,binned_cosine_1Da,322.9331076145172,shard_021_025,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_021_025/casmi2022_iceberg_harmonized_query_results.csv,True
24,CASMI2022,iceberg,completed,35,35,92,[M+H]+,812.47884213126,30,CASMI_MOL_1196824,full_query_candidate_set,233,233,0,0,66.0,False,False,False,0.0151515151515151,CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C2=[N+]([O-])CN(CCCc3c[nH]c4ccccc34)N3C(=O)OC1(C)C3C2C,0.544,True,binned_cosine_1Da,122.19116926193236,shard_021_025,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_021_025/casmi2022_iceberg_harmonized_query_results.csv,True
25,CASMI2022,iceberg,completed,37,37,98,[M+H]+,335.220961257905,30,CASMI_MOL_1196826,full_query_candidate_set,8957,8957,0,0,3029.0,False,False,False,0.0003301419610432,CC(C)C1=CC2CC1(C(=O)O)C(C=O)(C1CCC(C)C1CCO)C2,0.1481481481481481,True,binned_cosine_1Da,2134.1710679531097,shard_021_025,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_021_025/casmi2022_iceberg_harmonized_query_results.csv,True
26,CASMI2022,iceberg,partial_prediction_failures,38,38,99,[M+H]+,267.158658505007,30,CASMI_MOL_1196827,full_query_candidate_set,9532,9524,8,8,339.0,False,False,False,0.0029498525073746,O=C(O)C=CCCC=CCC=CCCCCC(=O)O,0.1764705882352941,True,binned_cosine_1Da,3572.5842249393463,shard_026_030,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_026_030/casmi2022_iceberg_harmonized_query_results.csv,True
27,CASMI2022,iceberg,completed,39,39,104,[M+H]+,110.059909596967,30,CASMI_MOL_1196829,full_query_candidate_set,859,859,0,0,131.0,False,False,False,0.0076335877862595,C=Cc1ncc(C)o1,0.0833333333333333,True,binned_cosine_1Da,88.80941247940063,shard_026_030,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_026_030/casmi2022_iceberg_harmonized_query_results.csv,True
28,CASMI2022,iceberg,partial_prediction_failures,40,40,105,[M+H]+,457.20099752921,30,CASMI_MOL_1196830,full_query_candidate_set,7695,7689,6,6,210.0,False,False,False,0.0047619047619047,CCC1CCC2(CC1)NC(=O)N(CC(=O)N1CCN(c3nc4cccnc4s3)CC1)C2=O,0.2244897959183673,True,binned_cosine_1Da,3551.1761322021484,shard_026_030,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_026_030/casmi2022_iceberg_harmonized_query_results.csv,True
29,CASMI2022,iceberg,completed,41,41,106,[M+H]+,484.216078579256,30,CASMI_MOL_1196831,full_query_candidate_set,5158,5158,0,0,3.0,False,True,True,0.3333333333333333,Nc1ncc(-c2cccc(C(=O)N3CCC(N4CCCC4)CC3)c2)cc1-c1nc2ccccc2s1,0.4337349397590361,True,binned_cosine_1Da,1493.4269905090332,shard_026_030,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_026_030/casmi2022_iceberg_harmonized_query_results.csv,True
30,CASMI2022,iceberg,completed,42,42,112,[M+H]+,395.232386610341,30,CASMI_MOL_1196832,full_query_candidate_set,9484,9484,0,0,176.0,False,False,False,0.0056818181818181,CC(=O)N1C(c2ccc(C(F)(F)F)cc2)CCC2CCCC(N3CCCC3)C21,0.1397849462365591,False,binned_cosine_1Da,2424.6986236572266,shard_026_030,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_026_030/casmi2022_iceberg_harmonized_query_results.csv,True
31,CASMI2022,iceberg,partial_prediction_failures,43,43,113,[M+H]+,333.205381675245,30,CASMI_MOL_1196833,full_query_candidate_set,8937,8935,2,2,267.0,False,False,False,0.0037453183520599,CC12CCC(=O)C=C1CCC1C2CCC2(CO)C(C(=O)O)CCC12,0.1139240506329113,True,binned_cosine_1Da,3238.594666481018,shard_031_035,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_031_035/casmi2022_iceberg_harmonized_query_results.csv,True
32,CASMI2022,iceberg,partial_prediction_failures,46,46,117,[M+H]+,145.075823480782,30,CASMI_MOL_1196837,full_query_candidate_set,960,955,5,5,166.0,False,False,False,0.0060240963855421,Cc1nccc2cnccc12,0.4375,True,binned_cosine_1Da,975.8569891452788,shard_031_035,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_031_035/casmi2022_iceberg_harmonized_query_results.csv,True
33,CASMI2022,iceberg,completed,48,48,122,[M+H]+,429.226698960775,30,CASMI_MOL_1196839,full_query_candidate_set,9066,9066,0,0,68.0,False,False,False,0.0147058823529411,Cc1cc2nc(C)c(CCC(=O)NC(C)c3ccc(Oc4ccccc4)cc3)c(C)n2n1,0.1067961165048543,False,binned_cosine_1Da,3076.0426626205444,shard_031_035,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_031_035/casmi2022_iceberg_harmonized_query_results.csv,True
34,CASMI2022,iceberg,completed,50,50,130,[M+H]+,173.047241210938,30,CASMI_MOL_1196841,full_query_candidate_set,1506,1506,0,0,1345.0,False,False,False,0.0007434944237918,C1=CC2=NC(c3cocn3)=NC2=N1,0.0444444444444444,False,binned_cosine_1Da,235.72095346450809,shard_031_035,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_031_035/casmi2022_iceberg_harmonized_query_results.csv,True
35,CASMI2022,iceberg,completed,51,51,134,[M+H]+,739.243161879911,30,CASMI_MOL_1196842,full_query_candidate_set,558,558,0,0,141.0,False,False,False,0.0070921985815602,C=CC1c2ccccc2N=C2N(C(=O)OC(C)(C)C)c3cccc(OC)c3C21CCN(C(=O)OCc1ccccc1)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,0.1386861313868613,False,binned_cosine_1Da,254.57081627845764,shard_031_035,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_031_035/casmi2022_iceberg_harmonized_query_results.csv,True
36,CASMI2022,iceberg,partial_prediction_failures,53,53,141,[M+H]+,98.096313476563,30,CASMI_MOL_1196844,full_query_candidate_set,1206,1194,12,12,1096.0,False,False,False,0.000912408759124,C#CN(C)C(C)C,0.0,True,binned_cosine_1Da,1019.2135102748872,shard_036_040,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_036_040/casmi2022_iceberg_harmonized_query_results.csv,True
37,CASMI2022,iceberg,completed,54,54,142,[M+H]+,212.081565615679,30,CASMI_MOL_1196845,full_query_candidate_set,6814,6814,0,0,135.0,False,False,False,0.0074074074074074,O=c1ccc2cnccc2n1-c1ccc[nH]1,0.1333333333333333,True,binned_cosine_1Da,2116.982695579529,shard_036_040,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_036_040/casmi2022_iceberg_harmonized_query_results.csv,True
38,CASMI2022,iceberg,completed,55,55,147,[M+H]+,349.200553291463,30,CASMI_MOL_1196846,full_query_candidate_set,9288,9288,0,0,60.0,False,False,False,0.0166666666666666,CC=C(C)C(=O)OC1CCC2(C)c3c(coc3O)CC(O)C2C1(C)C,0.2597402597402597,True,binned_cosine_1Da,3508.406237602234,shard_036_040,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_036_040/casmi2022_iceberg_harmonized_query_results.csv,True
39,CASMI2022,iceberg,partial_prediction_failures,56,56,148,[M+H]+,267.158989552775,30,CASMI_MOL_1196828,full_query_candidate_set,9532,9524,8,8,64.0,False,False,False,0.015625,O=C(O)CCCCCC1C2C=CC(C2)C1CC(=O)O,0.1333333333333333,True,binned_cosine_1Da,3354.0031085014343,shard_036_040,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_036_040/casmi2022_iceberg_harmonized_query_results.csv,True
40,CASMI2022,iceberg,completed,58,58,152,[M+H]+,127.075180638479,30,CASMI_MOL_1196849,full_query_candidate_set,2999,2999,0,0,266.0,False,False,False,0.0037593984962406,O=C(O)C1CC2CCC21,0.1428571428571428,True,binned_cosine_1Da,296.9091989994049,shard_036_040,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_036_040/casmi2022_iceberg_harmonized_query_results.csv,True
41,CASMI2022,iceberg,completed,59,59,153,[M+H]+,228.231926090935,30,CASMI_MOL_1196850,full_query_candidate_set,9219,9219,0,0,862.0,False,False,False,0.0011600928074245,CCC(C)CNC1CCOC(CC)(CC)C1,0.0652173913043478,True,binned_cosine_1Da,1656.686828136444,shard_041_045,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_041_045/casmi2022_iceberg_harmonized_query_results.csv,True
42,CASMI2022,iceberg,completed,60,60,158,[M+H]+,319.226352058803,30,CASMI_MOL_1196851,full_query_candidate_set,7090,7090,0,0,35.0,False,False,False,0.0285714285714285,CCC=CCC=CCC=CCC=CCC=CCCOCC(=O)O,0.1076923076923077,True,binned_cosine_1Da,1795.1690492630005,shard_041_045,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_041_045/casmi2022_iceberg_harmonized_query_results.csv,True
43,CASMI2022,iceberg,partial_prediction_failures,61,61,159,[M+H]+,485.216505310484,30,CASMI_MOL_1196853,full_query_candidate_set,8027,8021,6,6,18.0,False,False,False,0.0555555555555555,CC(C)(C)c1cc(OC(=O)CCCC(=O)Oc2cc(C=O)c(O)c(C(C)(C)C)c2)cc(C=O)c1O,0.1358024691358024,True,binned_cosine_1Da,3684.650742530823,shard_041_045,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_041_045/casmi2022_iceberg_harmonized_query_results.csv,True
44,CASMI2022,iceberg,partial_prediction_failures,64,64,169,[M+H]+,705.237865088362,30,CASMI_MOL_1196856,full_query_candidate_set,817,815,2,2,2.0,False,True,True,0.5,CC(=O)OC1C(C)OC(Oc2c(-c3ccc(O)cc3)oc3c(CC=C(C)C)c(OC4OC(CO)C(O)C(O)C4O)cc(O)c3c2=O)C(O)C1O,1.0,True,binned_cosine_1Da,892.1995997428894,shard_041_045,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_041_045/casmi2022_iceberg_harmonized_query_results.csv,True
45,CASMI2022,iceberg,completed,65,65,170,[M+H]+,249.148315429688,30,CASMI_MOL_1196857,full_query_candidate_set,9590,9590,0,0,1717.0,False,False,False,0.0005824111822947,CC1CCCCc2cc(O)ccc2OC(=O)CC1,0.1612903225806451,True,binned_cosine_1Da,2209.023187160492,shard_041_045,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_041_045/casmi2022_iceberg_harmonized_query_results.csv,True
46,CASMI2022,iceberg,completed,68,68,177,[M+H]+,114.127519082222,30,CASMI_MOL_1196860,full_query_candidate_set,1511,1511,0,0,173.0,False,False,False,0.0057803468208092,NC1CCCCCC1,0.3888888888888889,True,binned_cosine_1Da,114.23135375976562,shard_046_050,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_046_050/casmi2022_iceberg_harmonized_query_results.csv,True
47,CASMI2022,iceberg,completed,69,69,178,[M+H]+,282.169477178943,30,CASMI_MOL_1196861,full_query_candidate_set,9556,9556,0,0,2076.0,False,False,False,0.0004816955684007,CC(C)=CCCC(C)=CCNC(=O)C(=O)CCC(=O)O,0.1632653061224489,True,binned_cosine_1Da,2185.0892248153687,shard_046_050,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_046_050/casmi2022_iceberg_harmonized_query_results.csv,True
48,CASMI2022,iceberg,completed,70,70,183,[M+H]+,331.189924191026,30,CASMI_MOL_1196862,full_query_candidate_set,8926,8926,0,0,108.0,False,False,False,0.0092592592592592,CCC=c1cc2c(c(O)c1C(=O)O)=CCC(C)(CCC=C(C)C)O2,0.1604938271604938,True,binned_cosine_1Da,2272.0761172771454,shard_046_050,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_046_050/casmi2022_iceberg_harmonized_query_results.csv,True
49,CASMI2022,iceberg,completed,71,71,184,[M+H]+,169.12214356171,30,CASMI_MOL_1196863,full_query_candidate_set,9485,9485,0,0,4150.0,False,False,False,0.0002409638554216,CC(C)C12CC(CC(=O)O)(C1)C2,0.131578947368421,True,binned_cosine_1Da,1311.1084451675415,shard_046_050,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_046_050/casmi2022_iceberg_harmonized_query_results.csv,True
50,CASMI2022,iceberg,completed,74,74,189,[M+H]+,144.138018811886,30,CASMI_MOL_1196866,full_query_candidate_set,7251,7251,0,0,3866.0,False,False,False,0.0002586652871184,CCCCNCCC1CO1,0.0769230769230769,True,binned_cosine_1Da,842.5477068424225,shard_046_050,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_046_050/casmi2022_iceberg_harmonized_query_results.csv,True
51,CASMI2022,iceberg,completed,75,75,190,[M+H]+,287.048180621777,30,CASMI_MOL_1196867,full_query_candidate_set,4498,4498,0,0,20.0,False,False,False,0.05,Cc1scnc1C(=O)OC(=O)c1c[nH]c2ccccc12,0.4727272727272727,True,binned_cosine_1Da,5544.825847387314,shard_051_055,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_051_055/casmi2022_iceberg_harmonized_query_results.csv,True
52,CASMI2022,iceberg,completed,76,76,193,[M+H]+,305.247069182952,30,CASMI_MOL_1196812,full_query_candidate_set,5745,5745,0,0,321.0,False,False,False,0.0031152647975077,CCCCCC=CCC=CCCCC=C=CCCCC(=O)O,0.1044776119402985,True,binned_cosine_1Da,7507.647662401199,shard_051_055,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_051_055/casmi2022_iceberg_harmonized_query_results.csv,True
53,CASMI2022,iceberg,completed,77,77,194,[M+H]+,399.237181334685,30,CASMI_MOL_1196868,full_query_candidate_set,8719,8719,0,0,5.0,False,True,True,0.2,CC1=C2CC(C(C)(C)OC3OC(CO)C(O)C(O)C3O)CCC2(C)CCC1=O,1.0,True,binned_cosine_1Da,12864.454369544985,shard_051_055,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_051_055/casmi2022_iceberg_harmonized_query_results.csv,True
54,CASMI2022,iceberg,completed,78,78,201,[M+H]+,103.086471920208,30,CASMI_MOL_1196869,full_query_candidate_set,787,787,0,0,3.0,False,True,True,0.3333333333333333,CC(C)NNC=O,0.1034482758620689,True,binned_cosine_1Da,242.6406261920929,shard_051_055,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_051_055/casmi2022_iceberg_harmonized_query_results.csv,True
55,CASMI2022,iceberg,partial_prediction_failures,79,79,208,[M+H]+,330.205834046795,30,CASMI_MOL_1196870,full_query_candidate_set,7821,7820,1,1,451.0,False,False,False,0.0022172949002217,COC1=CCC=C(OC)C1CCC1NCCc2cc(OC)ccc21,0.0833333333333333,True,binned_cosine_1Da,11105.23197722435,shard_051_055,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_051_055/casmi2022_iceberg_harmonized_query_results.csv,True
56,CASMI2022,iceberg,partial_prediction_failures,80,80,209,[M+H]+,303.122479714061,30,CASMI_MOL_1196871,full_query_candidate_set,7809,7808,1,1,226.0,False,False,False,0.0044247787610619,O=C(O)CCCCCCC(=O)c1ccc(C(F)(F)F)cc1,0.072463768115942,False,binned_cosine_1Da,11149.533133029938,shard_056_060,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_056_060/casmi2022_iceberg_harmonized_query_results.csv,True
57,CASMI2022,iceberg,partial_prediction_failures,82,82,213,[M+H]+,140.106780463631,30,CASMI_MOL_1196873,full_query_candidate_set,5788,5787,1,1,269.0,False,False,False,0.0037174721189591,CC1CC(=O)N2CCCC12,0.2424242424242424,True,binned_cosine_1Da,3407.7861523628235,shard_056_060,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_056_060/casmi2022_iceberg_harmonized_query_results.csv,True
58,CASMI2022,iceberg,completed,83,83,219,[M+H]+,229.143216539695,30,CASMI_MOL_1196874,full_query_candidate_set,9564,9564,0,0,776.0,False,False,False,0.0012886597938144,CCC(CC=C(C)CCC(=O)O)OC(C)=O,0.2083333333333333,True,binned_cosine_1Da,10352.242180347444,shard_056_060,results/harmonized_sota_candidate_reruns_v1/iceberg/shard_056_060/casmi2022_iceberg_harmonized_query_results.csv,True
