supported_index,query_id,query_mol_id,adduct,precursor_mz,candidate_count,status,completed,matched_manifest_version,in_fragannotator,in_cfmid,in_cfmid_ms2deepscore_hybrid,in_sirius_formula_only
129,179,1196975,[M+H]+,417.201470595733,8960,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
130,180,1196976,[M+H]+,491.226984056055,6387,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
131,181,1196915,[M+H]+,235.169064683683,9633,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
132,185,1196979,[M+H]+,193.085852176167,6320,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
133,186,1196980,[M+H]+,267.122505644981,9661,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
134,187,1196981,[M+H]+,403.138301404899,8418,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
135,188,1196982,[M+H]+,469.22139095747,6643,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
136,189,1196983,[M+H]+,368.217760698508,3839,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
137,190,1196940,[M+H]+,275.163853197791,9134,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
138,191,1196908,[M+H]+,487.341250778403,1876,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
139,192,1196984,[M+H]+,661.39362166225,735,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
140,193,1196985,[M+H]+,441.226683930043,7937,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
141,194,1196986,[M+H]+,315.090498851477,9378,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
142,195,1196987,[M+H]+,663.227678443159,1274,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
143,196,1196988,[M+H]+,486.259335227713,4522,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
144,199,1196991,[M+H]+,336.064621637157,4447,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
145,200,1196992,[M+H]+,959.519496084228,510,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
146,201,1196993,[M+H]+,259.096368166086,7033,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
147,205,1196996,[M+H]+,297.12325418177,9363,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
148,206,1196927,[M+H]+,273.112060546875,9113,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
149,207,1196997,[M+H]+,227.091207796557,5971,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
150,208,1196916,[M+H]+,235.169023595214,9633,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
151,209,1196904,[M+H]+,275.127561614585,9092,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
152,210,1196998,[M+H]+,194.081074419737,6490,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
153,211,1196999,[M+H]+,265.190887245176,9668,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
154,212,1197000,[M+H]+,222.148667506899,9580,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
155,213,1197001,[M+H]+,403.211022742836,9069,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
156,214,1197002,[M+H]+,271.059841928281,1846,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
157,215,1197003,[M+H]+,309.169381324284,9453,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
158,216,1197004,[M+H]+,275.091150535382,5420,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
159,218,1197006,[M+H]+,273.097993820206,7363,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
160,219,1197007,[M+H]+,315.227363745888,3155,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
161,220,1196917,[M+H]+,235.1689207741,9633,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
162,221,1197008,[M+H]+,415.211006003416,9150,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
163,222,1197009,[M+H]+,377.195318456245,9240,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
164,223,1197010,[M+H]+,357.205526462194,9012,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
165,224,1197011,[M+H]+,256.059356689453,2730,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
166,225,1197012,[M+H]+,331.080666792507,6158,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
167,226,1197013,[M+H]+,268.154041428283,9691,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
168,227,1197014,[M+H]+,411.3252119159,1329,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
169,228,1196957,[M+H]+,243.101499946407,6956,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
